radix,total time (ms),time per digit (ms)
2,21515,672
4,10547,659
8,7187,653
16,5290,661
32,5053,721
64,5356,892
128,3576,715
256,2585,646
512,2688,672
1024,3606,901
2048,3219,1073
4096,3789,1263
8192,5085,1695
16384,6207,2069
32768,8343,2781
65536,8928,4464
131072,8986,4493
262144,8951,4475
524288,8893,4446
1048576,9831,4915
2097152,10632,5316
4194304,11103,5551
8388608,11113,5556
16777216,11652,5826
33554432,12433,6216
67108864,14074,7037
134217728,18345,9172
268435456,24041,12020
536870912,31646,15823
1073741824,37944,18972
